# Catalog of NOx point sources v2.0
# 
# Contact: steffen.beirle@mpic.de
# 
# Covered time range: Jan 2020 to Dec 2020 
# Used datasets:
# - TROPOMI NO2 measurements: https://data-portal.s5p-pal.com/products/no2.html
# - ERA5 wind fields: https://www.ecmwf.int/en/forecasts/datasets/reanalysis-datasets/era5
# - Global power plant database (GPPD): https://datasets.wri.org/dataset/globalpowerplantdatabase
# - World cities database (WCD): https://simplemaps.com/data/world-cities
# 
# Version 2 of the catalog provides a fundamental update compared to version 1.
# Several improvements have been implemented resulting in generally higher and
# more realistic emissions.
# A detailed description of the dataset is to be submitted to ESSD.
# 
# Data:
# Column 1: Rank of NOx point source
# Column 2: Latitude [degree North] of point source
# Column 3: Longitude [degree East] of point source
# Column 4: NOx emissions [kg/s]
# Column 5: NOx emissions error [kg/s]
# Column 6: Number of months (within the considered time range)
#           where significant emissions could be detected.
# Column 7: Combustion power plants above 100 MW within 15 km
#           as listed in GPPD, separated by semicolon.
#           Spelling exactly as in GPPD.
#           No entry if no match to GPPD was found.
#           Primarily based on GPPD v1.3, 
#           but extended by entries from v1.2 if missing in 1.3
#           (labelled as "v1.2")
# Column 8: Cities with more than 100,000 inhabitants within 15 km
#           as listed in WCD, separated by semicolon.
#           Spelling exactly as in WCD.
#           No entry if no match to WCD was found.
rank,lat,lon,E,err,months_significant,power_plants,cities
1,-26.2875,29.1625,2.4085,0.4679,9,Matla power station;Kriel power station,
2,-26.5625,29.1625,2.2161,0.4075,11,,
3,-23.6875,27.5875,2.3242,0.5827,11,Matimba power station,
4,-26.7375,27.9875,1.9177,0.4622,11,Lethabo power station,Vereeniging
5,-27.1125,29.7875,1.7892,0.3126,10,Majuba power station,
6,22.3875,82.6875,1.9367,0.6345,9,KORBA STPS;KORBA-WEST;KORBA-EAST;KASAIPALLI;SALORA,
7,40.6375,109.7375,1.6368,0.5370,10,Baotou East Hope power station;Baotou Hexi power station;Huaneng Baotou-2 power station;Huaneng Baotou-1 power station;Baotou Olefins power station;Baotou Works power station,Baotou
8,21.0125,107.1375,1.5581,0.3427,6,Quang Ninh 1,Hạ Long;Cẩm Phả
9,-26.0875,28.9875,1.6807,0.3402,9,Kendal power station,
10,-32.4125,151.0125,1.4884,0.3287,9,Bayswater;Liddell,
11,35.4375,51.8625,1.8512,0.5190,8,Damavand C.C.,
12,1.2875,103.7125,1.2926,0.5602,7,PowerSeraya Pulau Seraya Oil Power Station Singapore;PowerSeraya Pulau Seraya CCGT Cogen Power Plant Singapore;Tuas CCGT Power Station Singapore;Keppel Merlimau Cogen Power Plant Singapore;SembCorp Pulau Sakra CCGT Cogen Power Station Singapore;Tuas Oil Power Station Singapore;Jurong Island - PLP CCGT Power Plant Singapore;Pasir Panjang Gas Turbine Power Station Singapore;PowerSeraya OCGT Power Plant Singapore,Singapore
13,27.5625,52.5375,1.6244,0.4089,11,Mobin Petroshimi,
14,41.1375,122.9625,1.7026,0.1939,10,Anshan Steel Company No 2 power station,Anshan
15,27.0375,49.5625,1.5161,0.4432,12,BERI GP;JUBAIL COGEN (JEC),Al Jubayl
16,20.4125,105.9125,1.3716,0.3311,5,,
17,21.7875,84.0625,1.5485,0.5101,7,STERLITE TPP,
18,25.9625,56.1125,1.4665,0.5581,9,,
19,57.1125,61.7125,1.0984,0.1506,5,Reftinskaya GRES,
20,36.3125,58.8375,1.1793,0.3166,8,Neishabour,Neyshābūr
21,51.8875,75.3875,1.0400,0.1287,8,Ekibastuz-1 power station,
22,-25.9875,29.3625,1.2396,0.2518,9,Duvha power station,
23,30.6375,114.4625,1.0542,0.2415,8,Huaneng Yangluo power station;Qingshan power station;WISCO Qingshan power station;Wuhan Ethylene power station,
24,11.5625,79.4375,1.1364,0.4045,8,NEYVELI ST II;NEYVELI ST I;NEYVELI TPS EXP -II;NEYVELI FST EXT;NEYVELI TPS(Z),
25,18.7625,79.4625,1.1096,0.3727,11,R_GUNDEM STPS;SINGARENI TPP,Rāmgundam
26,22.3125,69.8625,1.1518,0.2181,10,SIKKA REP.;HAZIRA CCCP,
27,21.0625,107.3375,1.0446,0.2710,7,Mong Duong 2;Mong Duong 1;Cam Pha I,Cẩm Phả
28,24.4125,47.0125,1.0901,0.2047,10,Riyadh 10,
29,-26.7875,29.3625,0.8733,0.1612,10,Tutuka power station,
30,35.5125,129.3375,1.0229,0.1949,10,Ulsan;Yeongnam,Ulsan
31,15.1875,76.6625,1.0174,0.3411,8,BELLARY TPS;TORANGALLU EXT;TORANGALLU IMP,
32,21.2625,79.1125,0.9565,0.2740,8,KORADI;K_KHEDA II,Nāgpur
33,20.0375,-99.2625,0.9197,0.6447,11,Francisco Pérez Ríos (Tula);Tula;Pemex-Refinación  Refinería Miguel Hidalgo,
34,14.6375,101.1125,1.1934,0.3688,8,Kaeng Khoi 2,
35,20.0875,105.8875,1.1275,0.3041,5,,
36,21.0875,85.0875,1.1657,0.3979,8,TALCHER STPS;DERANG,
37,24.9375,47.0625,0.9538,0.1547,11,Riyadh 9,
38,22.1375,82.2875,1.0709,0.3327,10,SIPAT STPS,
